"Valiutos pavadinimas";"Valiutos kodas";"Santykis";"Data"
"Australijos doleris";"AUD";"1,6122";"2019-09-17"
"Bulgarijos levas";"BGN";"1,9558";"2019-09-17"
"Brazilijos realas";"BRL";"4,5207";"2019-09-17"
"Kanados doleris";"CAD";"1,462";"2019-09-17"
"Šveicarijos frankas";"CHF";"1,0966";"2019-09-17"
"Kinijos  ženminbi juanis";"CNY";"7,8249";"2019-09-17"
"Čekijos krona";"CZK";"25,916";"2019-09-17"
"Danijos krona";"DKK";"7,4671";"2019-09-17"
"Didžiosios Britanijos svaras sterlingų";"GBP";"0,88813";"2019-09-17"
"Honkongo doleris";"HKD";"8,6266";"2019-09-17"
"Kroatijos kuna";"HRK";"7,397";"2019-09-17"
"Vengrijos forintas";"HUF";"333,96";"2019-09-17"
"Indonezijos rupija";"IDR";"15536,74";"2019-09-17"
"Izraelio  naujasis šekelis";"ILS";"3,9227";"2019-09-17"
"Indijos rupija";"INR";"79,147";"2019-09-17"
"Islandijos krona";"ISK";"136,6";"2019-09-17"
"Japonijos jena";"JPY";"119,23";"2019-09-17"
"Pietų Korėjos vonas";"KRW";"1311,65";"2019-09-17"
"Meksikos pesas";"MXN";"21,4919";"2019-09-17"
"Malaizijos ringitas";"MYR";"4,6149";"2019-09-17"
"Norvegijos krona";"NOK";"9,8715";"2019-09-17"
"Naujosios Zelandijos doleris";"NZD";"1,7426";"2019-09-17"
"Filipinų pesas";"PHP";"57,712";"2019-09-17"
"Lenkijos zlotas";"PLN";"4,3416";"2019-09-17"
"Rumunijos lėja";"RON";"4,734";"2019-09-17"
"Rusijos rublis";"RUB";"70,7241";"2019-09-17"
"Švedijos krona";"SEK";"10,699";"2019-09-17"
"Singapūro doleris";"SGD";"1,5175";"2019-09-17"
"Tailando batas";"THB";"33,701";"2019-09-17"
"Turkijos lira";"TRY";"6,3065";"2019-09-17"
"JAV doleris";"USD";"1,1026";"2019-09-17"
"Pietų Afrikos Respublikos randas";"ZAR";"16,278";"2019-09-17"
